area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up Area,Ready To Move,Basavanagudi,2 BHK,Prestige Shantiniketan,971,1,3,64.47
Built-up Area,New Launch,Bommanahalli,2 BHK,Prestige Shantiniketan,986,1,2,52.75
Super built-up Area,Ready To Move,Basaveshwara Nagar,2 BHK,Brigade Orchards,1297,1,1,60.48
Super built-up Area,Under Construction,Bannerghatta Road,3 BHK,Godrej United,1570,3,2,87.87
Carpet Area,Ready To Move,Domlur,4 BHK,Purva Panorama,2279,3,2,153.14
Super built-up Area,Under Construction,HSR Layout Sector 6,3 BHK,Mantri Webcity,1519,2,1,144.94
Carpet Area,New Launch,Koramangala 4th Block,3 BHK,Embassy Boulevard,1681,2,1,135.56
Carpet Area,Under Construction,Banashankari,1 BHK,Sobha City,527,1,2,30.99
Super built-up Area,Ready To Move,KR Puram,3 BHK,Godrej Eternity,1299,1,1,103.08
Super built-up Area,1 Year,Mahadevapura,3 BHK,Brigade Millennium,1413,1,1,88.36
Plot Area,2 Years,Koramangala 6th Block,3 BHK,Row House,1608,3,0,221.65
Plot Area,1 Year,BTM Layout,4 BHK,Purva Highlands,2434,2,2,355.82
Super built-up Area,2 Years,Yelahanka,2 BHK,Embassy Boulevard,1033,1,1,63.57
Carpet Area,1 Year,Domlur,5 BHK,Prestige Lakeside Habitat,3424,4,0,228.43
Built-up Area,6 Months,BTM Layout 2nd Stage,3 BHK,Sobha Dream Acres,1716,2,1,90.05
Carpet Area,2 Years,Koramangala 7th Block,5 BHK,Salarpuria Greenage,3143,5,1,289.26
Plot Area,Immediate Possession,Whitefield,3 BHK,Mantri Alpyne,1482,1,1,144.42
Carpet Area,New Launch,Yeshwanthpur,4 BHK,Prestige Shantiniketan,2064,3,2,128.91
Carpet Area,2 Years,Yeshwanthpur,2 BHK,Prestige Shantiniketan,1160,2,2,33.5
Built-up Area,Immediate Possession,Mahadevapura,3 BHK,Purva Fountain Square,1531,2,2,137.9
Plot Area,Under Construction,Bannerghatta Road,1 BHK,Sobha Dream Acres,688,1,1,50.69
Carpet Area,Under Construction,Thanisandra,2 BHK,Godrej Eternity,1096,1,1,40.08
Built-up Area,Under Construction,BTM Layout 2nd Stage,5 BHK,Salarpuria Greenage,2859,4,2,302.82
Super built-up Area,Ready To Move,Hoodi,2 BHK,Prestige Shantiniketan,1270,2,2,77.98
Super built-up Area,1 Year,Koramangala 6th Block,3 BHK,Sobha Silicon Oaks,1526,3,1,216.47
Built-up Area,Ready To Move,Varthur,4 BHK,Standalone Villa,2693,2,2,216.5
Carpet Area,Under Construction,Domlur,3 BHK,Prestige Shantiniketan,1523,2,1,79.45
Super built-up Area,Immediate Possession,Sarjapur Road,2 BHK,Brigade Cosmopolis,1149,1,2,69.39
Built-up Area,6 Months,Basavanagudi,3 BHK,Prestige Shantiniketan,1605,2,0,121.08
Carpet Area,Immediate Possession,Banashankari,5 BHK,Mantri Webcity,3308,3,2,476.27
Built-up Area,Ready To Move,Kadugodi,3 BHK,Sobha Windfall,1894,1,3,103.53
Built-up Area,Immediate Possession,Bellandur,4 BHK,Sobha City,2457,3,2,250.42
Plot Area,1 Year,Malleshwaram,3 BHK,Godrej Aqua,1572,3,3,142.77
Built-up Area,Immediate Possession,Basaveshwara Nagar,4 BHK,Embassy Lake Terraces,2355,3,2,302.83
Built-up Area,Ready To Move,Koramangala 1st Block,3 BHK,Prestige Golfshire,1850,1,2,156.32
Super built-up Area,1 Year,Thanisandra,6 BHK,Prestige Lakeside Habitat,4910,6,2,534.7
Super built-up Area,Ready To Move,Hennur,2 BHK,Salarpuria Misty Charm,1023,1,2,73.8
Super built-up Area,Under Construction,Basavanagudi,4 BHK,Purva Riviera,2429,2,1,251.29
Built-up Area,Ready To Move,Basaveshwara Nagar,3 BHK,Sobha Windfall,1631,3,3,126.18
Super built-up Area,6 Months,Varthur,3 BHK,Embassy Pristine,1544,3,1,152.48
Carpet Area,6 Months,Banashankari,2 BHK,Salarpuria Sattva,984,1,1,52.35
Super built-up Area,6 Months,Marathahalli,4 BHK,Godrej United,2379,3,1,188.67
Carpet Area,New Launch,Koramangala 4th Block,3 BHK,Row House,1276,3,1,78.23
Carpet Area,6 Months,Nagarbhavi,3 BHK,Mantri Alpyne,1288,1,2,85.97
Super built-up Area,Immediate Possession,Yeshwanthpur,3 BHK,Row House,1586,3,3,131.65
Super built-up Area,2 Years,Vijayanagar,4 BHK,Mantri Webcity,2620,3,0,111.06
Built-up Area,Ready To Move,Kundanhalli,3 BHK,Row House,1705,1,1,119.93
Built-up Area,6 Months,HSR Layout Sector 1,2 BHK,Salarpuria Divinity,1117,1,1,94.07
Carpet Area,New Launch,Domlur,3 BHK,Godrej Air,1571,3,2,58.66
Super built-up Area,6 Months,BTM Layout 2nd Stage,2 BHK,Prestige Lakeside Habitat,1085,1,1,82.26
Plot Area,Under Construction,Nagarbhavi,3 BHK,Prestige Shantiniketan,1581,3,1,82.67
Built-up Area,6 Months,Rajajinagar,3 BHK,Sobha Dream Acres,1343,2,1,93.13
Built-up Area,Under Construction,HSR Layout Sector 6,3 BHK,Brigade Gateway,1341,3,2,85.92
Super built-up Area,New Launch,Yelahanka,4 BHK,Brigade Orchards,2941,2,2,156.38
Built-up Area,1 Year,Kengeri,4 BHK,Prestige Lakeside Habitat,2400,4,1,113.45
Plot Area,New Launch,BTM Layout,4 BHK,Purva Riviera,2219,4,1,205.93
Built-up Area,1 Year,Banashankari,3 BHK,Prestige Shantiniketan,1489,2,1,46.64
Built-up Area,Ready To Move,Koramangala,2 BHK,Brigade Orchards,1132,1,2,66.27
Built-up Area,Under Construction,Basavanagudi,2 BHK,Purva Highlands,1235,1,3,75.08
Built-up Area,1 Year,Varthur,4 BHK,Salarpuria Sattva,2430,3,1,90.53
Built-up Area,Ready To Move,Brookefield,4 BHK,Prestige Lakeside Habitat,2639,4,2,316.73
Carpet Area,Ready To Move,Banaswadi,3 BHK,Sobha Silicon Oaks,1395,2,2,62.54
Built-up Area,Ready To Move,Ramamurthy Nagar,4 BHK,Godrej Eternity,2781,3,1,130.79
Built-up Area,2 Years,Vijayanagar,2 BHK,Purva Highlands,1280,1,0,72.95
Carpet Area,Immediate Possession,Thanisandra,2 BHK,Salarpuria Sattva,1154,1,2,26.23
Super built-up Area,1 Year,Bannerghatta Road,4 BHK,Brigade Millennium,2545,3,1,148.39
Super built-up Area,Immediate Possession,HSR Layout Sector 1,2 BHK,Purva Panorama,1216,1,1,129.64
Plot Area,2 Years,Bellandur,3 BHK,Sobha City,1646,2,1,180.47
Built-up Area,Ready To Move,Koramangala 7th Block,3 BHK,Brigade Millennium,1817,2,2,194.36
Carpet Area,Ready To Move,Malleshwaram,6 BHK,Prestige Song of the South,4823,4,3,637.91
Built-up Area,6 Months,Yeshwanthpur,4 BHK,Mantri Espana,2340,3,0,124.25
Plot Area,Immediate Possession,Sarjapur Road,2 BHK,Prestige Shantiniketan,991,2,3,91.73
Plot Area,6 Months,Brookefield,4 BHK,Embassy Lake Terraces,2387,2,1,231.24
Plot Area,2 Years,Ramamurthy Nagar,4 BHK,Sobha City,2606,2,2,144.0
Plot Area,Under Construction,Basavanagudi,3 BHK,Mantri Espana,1688,1,1,176.93
Carpet Area,Ready To Move,Brookefield,3 BHK,Godrej Air,1692,2,1,125.0
Carpet Area,1 Year,Yelahanka,4 BHK,Sobha City,2503,2,1,68.68
Plot Area,Under Construction,Kalyan Nagar,2 BHK,Godrej Air,978,1,0,114.6
Built-up Area,6 Months,Vijayanagar,1 BHK,Sobha Silicon Oaks,500,1,0,25.84
Carpet Area,1 Year,Whitefield,3 BHK,Prestige Song of the South,1530,2,1,78.39
Built-up Area,Under Construction,Thanisandra,4 BHK,Sobha Windfall,2193,2,1,86.75
Plot Area,2 Years,Bannerghatta Road,3 BHK,Embassy Springs,1607,3,1,164.13
Built-up Area,New Launch,Bommanahalli,3 BHK,Mantri Serenity,1289,1,2,75.84
Built-up Area,2 Years,BTM Layout 2nd Stage,3 BHK,Mantri Webcity,1621,2,2,150.71
Built-up Area,Ready To Move,Kengeri,4 BHK,Independent House,2739,4,2,86.89
Plot Area,6 Months,Koramangala 4th Block,5 BHK,Salarpuria Sattva,3282,3,1,307.35
Built-up Area,1 Year,Hebbal,4 BHK,Godrej Air,2319,4,3,227.96
Plot Area,New Launch,BTM Layout 2nd Stage,2 BHK,Salarpuria Greenage,1033,1,3,121.98
Carpet Area,2 Years,Koramangala 5th Block,2 BHK,Embassy Boulevard,1131,1,3,124.43
Carpet Area,Immediate Possession,Nagarbhavi,3 BHK,Godrej Aqua,1739,2,2,52.52
Super built-up Area,New Launch,BTM Layout 2nd Stage,3 BHK,Standalone Villa,1589,2,3,52.34
Built-up Area,New Launch,Basavanagudi,4 BHK,Purva Riviera,2625,4,3,215.28
Built-up Area,Ready To Move,Basaveshwara Nagar,2 BHK,Mantri Espana,1096,1,3,114.3
Plot Area,Immediate Possession,BTM Layout 2nd Stage,1 BHK,Brigade Millennium,570,1,1,69.88
Carpet Area,New Launch,Nagarbhavi,2 BHK,Mantri Alpyne,1034,1,2,62.0
Carpet Area,Immediate Possession,Basaveshwara Nagar,2 BHK,Mantri Webcity,1035,1,2,90.78
Carpet Area,1 Year,Ramamurthy Nagar,5 BHK,Mantri Webcity,3416,4,1,224.96
Built-up Area,Immediate Possession,Brookefield,2 BHK,Embassy Lake Terraces,1099,1,1,84.7
Plot Area,Immediate Possession,Kengeri,3 BHK,Independent House,1549,1,2,103.71
Plot Area,Under Construction,BTM Layout,3 BHK,Brigade Orchards,1653,2,3,125.02
Built-up Area,New Launch,HSR Layout,3 BHK,Sobha Dream Acres,1875,2,3,97.31
Super built-up Area,6 Months,Electronic City,2 BHK,Mantri Webcity,1056,1,0,48.35
Super built-up Area,2 Years,Domlur,3 BHK,Mantri Webcity,1566,2,2,175.53
Built-up Area,New Launch,Ramamurthy Nagar,3 BHK,Embassy Lake Terraces,1591,1,2,94.44
Carpet Area,2 Years,Ramamurthy Nagar,5 BHK,Purva Highlands,3100,4,2,214.03
Built-up Area,Ready To Move,Sarjapur Road,3 BHK,Mantri Alpyne,1602,2,1,131.01
Built-up Area,New Launch,Bannerghatta Road,3 BHK,Embassy Springs,1336,2,2,34.28
Plot Area,Ready To Move,Rajajinagar,3 BHK,Sobha Dream Acres,1604,3,1,301.6
Carpet Area,1 Year,BTM Layout 2nd Stage,3 BHK,Standalone Villa,1436,2,0,95.63
Built-up Area,Immediate Possession,Malleshwaram,2 BHK,Embassy Springs,914,1,2,99.77
Carpet Area,Under Construction,Kadugodi,2 BHK,Godrej Eternity,1097,1,1,39.11
Plot Area,Under Construction,Koramangala 6th Block,3 BHK,Mantri Alpyne,1580,2,0,134.34
Super built-up Area,Ready To Move,Marathahalli,2 BHK,Standalone Villa,1225,2,3,86.72
Carpet Area,Under Construction,Mahadevapura,3 BHK,Brigade Gateway,1392,3,2,69.2
Carpet Area,1 Year,HSR Layout,3 BHK,Row House,1558,1,1,102.09
Carpet Area,New Launch,HSR Layout,3 BHK,Sobha Windfall,1448,2,1,93.78
Carpet Area,1 Year,Brookefield,2 BHK,Godrej Aqua,1122,1,3,49.98
Plot Area,New Launch,Domlur,3 BHK,Brigade Orchards,1613,1,1,249.72
Super built-up Area,Immediate Possession,Indiranagar,3 BHK,Purva Riviera,1669,2,2,94.57
Super built-up Area,1 Year,BTM Layout 1st Stage,3 BHK,Builder Floor,1380,1,2,164.89
Built-up Area,Under Construction,Hoodi,3 BHK,Purva Highlands,1494,1,1,74.21
Built-up Area,6 Months,Hennur,4 BHK,Godrej United,2368,2,3,144.04
Carpet Area,Immediate Possession,Banashankari,2 BHK,Purva Riviera,1133,1,1,56.18
Super built-up Area,Ready To Move,Thanisandra,4 BHK,Brigade Orchards,2669,4,1,203.07
Super built-up Area,2 Years,BTM Layout 1st Stage,4 BHK,Salarpuria Misty Charm,2721,3,2,230.51
Super built-up Area,Ready To Move,Hennur,3 BHK,Embassy Lake Terraces,1671,2,1,57.57
Super built-up Area,Ready To Move,BTM Layout 1st Stage,3 BHK,Brigade Millennium,1595,2,2,136.28
Built-up Area,1 Year,Kundanhalli,3 BHK,Prestige Lakeside Habitat,1603,3,1,47.06
Built-up Area,New Launch,Bellandur,5 BHK,Mantri Alpyne,3270,4,3,212.07
Plot Area,Ready To Move,Sarjapur Road,3 BHK,Godrej Air,1605,2,1,328.26
Super built-up Area,2 Years,Koramangala 6th Block,5 BHK,Mantri Serenity,2926,3,1,467.86
Super built-up Area,Immediate Possession,Koramangala 1st Block,4 BHK,Sobha Windfall,2295,4,2,339.95
Super built-up Area,Under Construction,Jayanagar,3 BHK,Prestige Song of the South,1478,2,1,73.48
Built-up Area,6 Months,Varthur,2 BHK,Brigade Cosmopolis,1203,1,1,43.85
Super built-up Area,6 Months,Nagarbhavi,2 BHK,Godrej Aqua,1263,1,3,62.48
Carpet Area,Under Construction,Malleshwaram,3 BHK,Embassy Lake Terraces,1473,2,3,68.69
Built-up Area,Under Construction,BTM Layout 2nd Stage,1 BHK,Brigade Gateway,671,1,1,54.77
Plot Area,Under Construction,Hebbal,3 BHK,Purva Riviera,1863,2,2,102.69
Carpet Area,New Launch,Whitefield,2 BHK,Salarpuria Divinity,920,1,2,20.14
Built-up Area,Under Construction,Varthur,2 BHK,Salarpuria Greenage,1059,1,1,55.89
Super built-up Area,6 Months,Kalyan Nagar,4 BHK,Salarpuria Misty Charm,2586,4,3,207.39
Plot Area,Ready To Move,Kundanhalli,3 BHK,Godrej Eternity,1653,1,3,199.72
Built-up Area,Immediate Possession,Koramangala,3 BHK,Embassy Pristine,1496,3,3,87.64
Built-up Area,2 Years,Domlur,3 BHK,Purva Riviera,1518,1,1,73.48
Super built-up Area,Ready To Move,Koramangala,3 BHK,Embassy Pristine,1367,3,1,84.19
Plot Area,Ready To Move,Hebbal,4 BHK,Salarpuria Misty Charm,2481,3,1,193.03
Built-up Area,1 Year,Koramangala 5th Block,6 BHK,Mantri Espana,4565,4,2,551.97
Plot Area,1 Year,BTM Layout 2nd Stage,4 BHK,Prestige Golfshire,2493,3,1,351.99
Plot Area,Under Construction,Ramamurthy Nagar,3 BHK,Purva Fountain Square,1558,1,1,106.94
Built-up Area,Under Construction,Yelahanka,1 BHK,Mantri Serenity,663,1,1,58.34
Built-up Area,Under Construction,Basaveshwara Nagar,3 BHK,Sobha Windfall,1694,3,1,111.56
Super built-up Area,2 Years,HSR Layout Sector 6,2 BHK,Sobha Dream Acres,1079,1,2,144.76
Carpet Area,6 Months,Hebbal,2 BHK,Brigade Gateway,1158,1,3,39.14
Carpet Area,Immediate Possession,Rajajinagar,2 BHK,Godrej Eternity,1155,1,1,69.41
Carpet Area,Under Construction,Rajajinagar,6 BHK,Embassy Lake Terraces,4812,6,0,218.77
Built-up Area,2 Years,KR Puram,2 BHK,Salarpuria Divinity,1163,1,1,56.79
Super built-up Area,6 Months,BTM Layout,2 BHK,Godrej Eternity,1259,1,2,123.37
Plot Area,New Launch,Ramamurthy Nagar,2 BHK,Salarpuria Sattva,993,1,1,94.1
Plot Area,1 Year,Whitefield,2 BHK,Purva Fountain Square,1060,1,1,92.23
Carpet Area,2 Years,Koramangala 5th Block,6 BHK,Embassy Springs,4903,5,1,252.27
Super built-up Area,1 Year,Hebbal,3 BHK,Purva Panorama,1627,2,1,123.46
Built-up Area,Immediate Possession,KR Puram,4 BHK,Godrej Eternity,2457,3,1,149.27
Plot Area,Under Construction,BTM Layout 2nd Stage,2 BHK,Salarpuria Divinity,913,1,2,69.31
Super built-up Area,New Launch,KR Puram,3 BHK,Brigade Orchards,1647,1,2,57.34
Carpet Area,New Launch,Koramangala,2 BHK,Prestige Golfshire,1157,2,3,113.03
Super built-up Area,New Launch,Rajajinagar,3 BHK,Mantri Espana,1604,1,3,85.68
Carpet Area,Ready To Move,Nagarbhavi,3 BHK,Purva Panorama,1805,2,3,69.92
Plot Area,New Launch,Hoodi,2 BHK,Brigade Millennium,1173,2,2,95.3
Plot Area,6 Months,Koramangala 6th Block,3 BHK,Mantri Serenity,1454,2,1,181.03
Plot Area,New Launch,Hennur,2 BHK,Godrej Aqua,1006,2,0,54.24
Super built-up Area,2 Years,Kundanhalli,3 BHK,Prestige Lakeside Habitat,1965,3,1,121.93
Built-up Area,Immediate Possession,Yelahanka,3 BHK,Sobha Windfall,1882,3,2,84.63
Plot Area,Ready To Move,BTM Layout,4 BHK,Prestige Lakeside Habitat,2414,4,1,300.77
Carpet Area,Ready To Move,Hebbal,4 BHK,Purva Riviera,2331,3,3,196.33
Plot Area,6 Months,Vijayanagar,2 BHK,Brigade Cosmopolis,1115,1,3,65.37
Plot Area,Immediate Possession,Koramangala 4th Block,2 BHK,Sobha City,1100,1,1,121.07
Super built-up Area,Under Construction,JP Nagar,5 BHK,Godrej United,3765,3,0,301.62
Built-up Area,Ready To Move,Kundanhalli,4 BHK,Godrej Aqua,2278,3,2,169.78
Plot Area,1 Year,Hennur,2 BHK,Brigade Millennium,1159,1,1,45.07
Plot Area,1 Year,Hoodi,3 BHK,Standalone Villa,1378,1,3,89.26
Built-up Area,2 Years,Varthur,3 BHK,Mantri Serenity,1727,2,3,148.84
Super built-up Area,6 Months,Jayanagar,2 BHK,Mantri Espana,1240,1,1,161.09
Carpet Area,Under Construction,Hoodi,5 BHK,Brigade Millennium,3403,4,0,329.87
Built-up Area,Ready To Move,Rajajinagar,3 BHK,Brigade Gateway,1521,3,2,246.44
Super built-up Area,6 Months,Yeshwanthpur,3 BHK,Purva Panorama,1618,2,1,55.37
Carpet Area,Immediate Possession,Electronic City,4 BHK,Prestige Song of the South,2252,3,1,62.31
Plot Area,2 Years,Bommanahalli,3 BHK,Sobha Dream Acres,1386,1,1,103.72
Super built-up Area,Ready To Move,Whitefield,6 BHK,Prestige Lakeside Habitat,5236,4,1,584.71
Plot Area,Immediate Possession,Koramangala 5th Block,5 BHK,Godrej Air,3347,4,2,691.73
Plot Area,Immediate Possession,Koramangala 4th Block,3 BHK,Brigade Cosmopolis,1753,2,2,309.2
Plot Area,6 Months,Koramangala 6th Block,3 BHK,Purva Highlands,1571,2,1,105.42
Plot Area,2 Years,HSR Layout,3 BHK,Purva Riviera,1600,1,3,145.19
Plot Area,1 Year,Varthur,3 BHK,Sobha City,1707,2,0,119.12
Super built-up Area,Ready To Move,Hoodi,3 BHK,Sobha Silicon Oaks,1901,2,2,69.69
Carpet Area,1 Year,Varthur,3 BHK,Salarpuria Greenage,1609,1,3,108.3
Super built-up Area,6 Months,Jayanagar,2 BHK,Prestige Song of the South,1176,1,0,137.64
Plot Area,6 Months,Koramangala 6th Block,3 BHK,Godrej Aqua,1499,1,1,208.21
Super built-up Area,Ready To Move,Hennur,3 BHK,Salarpuria Misty Charm,1593,2,3,104.76
Plot Area,Under Construction,Koramangala 6th Block,3 BHK,Purva Fountain Square,1524,2,3,153.13
Carpet Area,6 Months,Indiranagar,4 BHK,Mantri Alpyne,2878,4,3,364.72
Carpet Area,New Launch,Rajajinagar,4 BHK,Embassy Springs,2453,3,2,172.05
Built-up Area,Immediate Possession,Koramangala 1st Block,3 BHK,Sobha Silicon Oaks,1490,2,1,227.17
Carpet Area,Under Construction,Kalyan Nagar,4 BHK,Mantri Espana,2744,3,3,103.35
Carpet Area,6 Months,HSR Layout Sector 2,4 BHK,Row House,2351,3,1,207.49
Plot Area,New Launch,HSR Layout Sector 2,3 BHK,Sobha Dream Acres,1868,1,2,198.76
Plot Area,Under Construction,BTM Layout 2nd Stage,5 BHK,Godrej Air,2772,4,3,180.49
Carpet Area,1 Year,Yelahanka,4 BHK,Salarpuria Greenage,2328,3,1,114.19
Carpet Area,2 Years,Vijayanagar,3 BHK,Purva Panorama,1676,2,1,55.77
Super built-up Area,Immediate Possession,HSR Layout Sector 2,3 BHK,Embassy Boulevard,1598,2,1,151.63
Carpet Area,New Launch,Vijayanagar,3 BHK,Purva Highlands,1788,2,0,98.72
Carpet Area,Immediate Possession,Basavanagudi,2 BHK,Prestige Golfshire,1130,2,2,59.28
Built-up Area,Under Construction,Koramangala 1st Block,5 BHK,Salarpuria Greenage,2744,5,3,380.25
Carpet Area,6 Months,Koramangala 7th Block,3 BHK,Sobha Silicon Oaks,1597,2,2,147.59
Plot Area,1 Year,HSR Layout Sector 1,4 BHK,Mantri Serenity,2716,3,1,265.04
Built-up Area,Under Construction,Marathahalli,5 BHK,Salarpuria Sattva,3822,5,2,228.99
Plot Area,Under Construction,Koramangala 6th Block,4 BHK,Godrej Eternity,2203,3,3,192.83
Plot Area,2 Years,Sarjapur Road,2 BHK,Sobha City,1035,1,2,41.79
Carpet Area,2 Years,Kadugodi,4 BHK,Builder Floor,2255,3,3,147.66
Carpet Area,1 Year,Jayanagar,2 BHK,Sobha Silicon Oaks,1121,1,2,102.39
Plot Area,2 Years,Hoodi,3 BHK,Prestige Lakeside Habitat,1526,2,1,115.34
Built-up Area,Ready To Move,Koramangala,4 BHK,Sobha City,2414,3,1,235.53
Plot Area,2 Years,Kengeri,3 BHK,Godrej Air,1468,1,1,103.31
Built-up Area,1 Year,BTM Layout,3 BHK,Salarpuria Greenage,1587,3,2,130.07
Built-up Area,1 Year,Electronic City,3 BHK,Salarpuria Misty Charm,1374,3,1,38.05
Super built-up Area,Under Construction,Bannerghatta Road,1 BHK,Mantri Alpyne,646,1,2,20.78
Carpet Area,6 Months,Ramamurthy Nagar,1 BHK,Brigade Cosmopolis,494,1,1,26.91
Carpet Area,1 Year,Hoodi,2 BHK,Salarpuria Divinity,1175,2,1,56.27
Plot Area,2 Years,Koramangala 5th Block,3 BHK,Mantri Espana,1435,2,1,172.65
Carpet Area,1 Year,BTM Layout,4 BHK,Embassy Lake Terraces,2474,3,3,127.24
Carpet Area,1 Year,Jayanagar,4 BHK,Purva Fountain Square,2335,2,1,232.99
Built-up Area,Ready To Move,KR Puram,3 BHK,Purva Panorama,1568,2,1,87.24
Carpet Area,Ready To Move,Koramangala 4th Block,2 BHK,Mantri Serenity,1004,1,1,44.12
Built-up Area,2 Years,Rajajinagar,3 BHK,Sobha Silicon Oaks,1582,2,0,126.65
Built-up Area,Ready To Move,BTM Layout 2nd Stage,1 BHK,Embassy Boulevard,556,1,2,20.0
Plot Area,New Launch,Bellandur,4 BHK,Godrej Aqua,2555,3,3,377.25
Built-up Area,1 Year,Banaswadi,3 BHK,Salarpuria Sattva,1556,3,2,56.05
Built-up Area,1 Year,Bellandur,4 BHK,Purva Highlands,2267,2,1,154.34
Plot Area,2 Years,Domlur,4 BHK,Standalone Villa,2466,4,2,216.14
Carpet Area,1 Year,Koramangala,2 BHK,Brigade Gateway,908,1,1,113.51
Super built-up Area,Under Construction,KR Puram,3 BHK,Mantri Espana,1545,1,2,123.8
Carpet Area,Ready To Move,Hennur,6 BHK,Mantri Alpyne,5150,5,3,194.08
Super built-up Area,New Launch,Jayanagar,3 BHK,Mantri Serenity,1650,2,2,162.3
Built-up Area,Under Construction,Indiranagar,4 BHK,Standalone Villa,2342,3,1,254.59
Built-up Area,Under Construction,Indiranagar,4 BHK,Row House,2712,3,1,364.81
Plot Area,New Launch,Kalyan Nagar,2 BHK,Godrej Aqua,1030,1,3,30.03
Built-up Area,Under Construction,Hoodi,4 BHK,Purva Riviera,2097,3,1,218.65
Built-up Area,6 Months,Koramangala 1st Block,2 BHK,Salarpuria Greenage,1209,2,1,208.24
Super built-up Area,Under Construction,Bannerghatta Road,1 BHK,Mantri Webcity,540,1,1,26.67
Super built-up Area,Under Construction,Koramangala 6th Block,3 BHK,Mantri Serenity,1548,3,3,88.55
Super built-up Area,Under Construction,Basavanagudi,5 BHK,Purva Riviera,3287,4,3,364.88
Plot Area,Immediate Possession,Banaswadi,3 BHK,Purva Panorama,1597,3,1,86.35
Plot Area,2 Years,BTM Layout 2nd Stage,2 BHK,Mantri Alpyne,1195,1,1,109.34
Plot Area,2 Years,Whitefield,3 BHK,Godrej United,1447,2,1,63.94
Carpet Area,2 Years,Kundanhalli,1 BHK,Purva Fountain Square,658,1,3,46.33
Super built-up Area,Under Construction,Kengeri Satellite Town,3 BHK,Brigade Orchards,1385,2,0,73.55
Super built-up Area,Ready To Move,JP Nagar,4 BHK,Godrej Aqua,2294,3,1,78.68
Carpet Area,2 Years,Kengeri Satellite Town,4 BHK,Embassy Pristine,2706,3,2,129.42
Super built-up Area,Under Construction,Malleshwaram,4 BHK,Brigade Orchards,2165,3,1,304.98
Built-up Area,6 Months,Koramangala,2 BHK,Sobha Dream Acres,1058,1,0,127.21
Super built-up Area,Ready To Move,BTM Layout,2 BHK,Mantri Alpyne,1084,1,2,49.68
Built-up Area,New Launch,Yeshwanthpur,3 BHK,Godrej Eternity,1538,2,1,129.81
Plot Area,2 Years,Indiranagar,2 BHK,Sobha Silicon Oaks,1200,1,2,91.62
Plot Area,1 Year,BTM Layout 2nd Stage,4 BHK,Salarpuria Sattva,2636,2,1,296.54
Plot Area,New Launch,BTM Layout 1st Stage,4 BHK,Prestige Golfshire,2542,2,0,101.13
Built-up Area,New Launch,Marathahalli,3 BHK,Godrej Eternity,1474,1,1,95.75
Built-up Area,6 Months,Brookefield,3 BHK,Purva Highlands,1669,2,2,62.46
Plot Area,1 Year,Banashankari,2 BHK,Brigade Gateway,1203,1,0,88.45
Super built-up Area,Under Construction,Domlur,2 BHK,Brigade Gateway,1079,1,2,94.05
Super built-up Area,2 Years,HSR Layout Sector 1,3 BHK,Mantri Webcity,1625,1,2,127.6
Carpet Area,1 Year,Ramamurthy Nagar,3 BHK,Prestige Golfshire,1789,2,2,131.67
Plot Area,Under Construction,Malleshwaram,4 BHK,Purva Riviera,2173,2,1,272.9
Super built-up Area,2 Years,Koramangala 6th Block,4 BHK,Godrej Aqua,2363,4,2,216.12
Super built-up Area,Ready To Move,Bannerghatta Road,4 BHK,Godrej Eternity,2350,4,1,255.13
Plot Area,6 Months,Koramangala 1st Block,4 BHK,Sobha City,2688,3,0,212.21
Carpet Area,1 Year,Basaveshwara Nagar,3 BHK,Row House,1356,1,1,101.74
Super built-up Area,1 Year,Kengeri Satellite Town,3 BHK,Purva Panorama,1497,1,2,52.86
Plot Area,New Launch,Indiranagar,1 BHK,Sobha City,579,1,0,50.25
Built-up Area,New Launch,HSR Layout Sector 1,3 BHK,Salarpuria Sattva,1496,2,3,95.02
Carpet Area,Under Construction,Basaveshwara Nagar,2 BHK,Purva Fountain Square,1180,2,2,63.92
Super built-up Area,Under Construction,Mahadevapura,4 BHK,Godrej Aqua,2753,3,1,223.42
Plot Area,1 Year,Mahadevapura,2 BHK,Prestige Golfshire,1253,1,1,177.77
Plot Area,Under Construction,Basavanagudi,5 BHK,Sobha Windfall,3436,5,2,470.18
Carpet Area,Under Construction,Brookefield,2 BHK,Brigade Gateway,1078,2,0,29.54
Built-up Area,Immediate Possession,KR Puram,2 BHK,Purva Fountain Square,912,1,1,75.41
Plot Area,2 Years,Koramangala 7th Block,4 BHK,Purva Riviera,2113,3,1,443.02
Super built-up Area,1 Year,Kengeri Satellite Town,4 BHK,Standalone Villa,2333,3,1,165.27
Carpet Area,New Launch,Jayanagar,2 BHK,Godrej Air,810,1,1,64.53
Carpet Area,6 Months,Electronic City,4 BHK,Builder Floor,2406,2,3,113.8
Carpet Area,Ready To Move,Domlur,3 BHK,Brigade Orchards,1602,1,3,235.6
Built-up Area,Ready To Move,Electronic City,3 BHK,Embassy Lake Terraces,1757,1,2,137.28
Carpet Area,Ready To Move,Domlur,6 BHK,Purva Fountain Square,4373,5,1,399.29
Plot Area,Immediate Possession,Banashankari,4 BHK,Prestige Golfshire,2339,3,1,171.69
Plot Area,1 Year,Ramamurthy Nagar,3 BHK,Mantri Serenity,2000,2,0,95.79
